Year,Renewables,Biofuels,Hydro,Geothermal,Solar PV,Wind,Biomass,Nonrenewables,Coal,Oil,Natural gas,Units,,,,,,,,,,Biofuels,Hydro,Geothermal,Solar PV,Wind,Biomass
1990,45.4,1.63,23.01,20.75,0,0,0,54.6,7.3,47.2,,%,,,,,,,,,45.4,3.6,50.69,45.71,0,0,0
1991,42.5,0,20.06,22.44,0,0,0,57.5,7.6,49.9,,%,,,,,,,,,42.5,0,47.19,52.81,0,0,0
1992,39.2,0,17.17,22.03,0,0,0,60.8,6.9,53.9,,%,,,,,,,,,39.2,0,43.79,56.21,0,0,0
1993,40.2,0,18.9,21.3,0,0,0,59.8,7.6,52.2,,%,,,,,,,,,40.2,0,47.02,52.98,0,0,0
1994,40,0,19.25,20.75,0,0,0,60,4.4,55.6,,%,,,,,,,,,40,0,48.12,51.88,0,0,0
1995,36.9,0,18.59,18.31,0,0,0,63.1,6.3,56.9,,%,,,,,,,,,36.9,0,50.39,49.61,0,0,0
1996,37,0,19.18,17.82,0,0,0,63,13.2,49.8,,%,,,,,,,,,37,0,51.83,48.17,0,0,0
1997,33.4,0,15.23,18.17,0,0,0,66.6,18.5,48,,%,,,,,,,,,33.4,0,45.61,54.39,0,0,0
1998,33.7,0,12.24,21.46,0,0,0,66.3,22.6,43.7,,%,,,,,,,,,33.7,0,36.32,63.68,0,0,0
1999,44.5,0,18.93,25.57,0,0,0,55.5,27,28.5,,%,,,,,,,,,44.5,0,42.53,57.47,0,0,0
2000,42.9,0,17.22,25.68,0,0,0,57.1,36.8,20.3,,%,,,,,,,,,42.9,0,40.15,59.85,0,0,0
2001,37.3,0,15.1,22.2,0,0,0,62.7,39.9,21,1.8,%,,,,,,,,,37.3,0,40.49,59.51,0,0,0
2002,35.6,0,14.49,21.11,0,0,0,64.4,33.3,13,18.1,%,,,,,,,,,35.6,0,40.71,59.29,0,0,0
2003,33.4,0,14.86,18.54,0,0,0,66.6,28.2,13.5,24.8,%,,,,,,,,,33.4,0,44.48,55.52,0,0,0
2004,33.7,0,15.34,18.36,0,0,0,66.3,28.9,15.2,22.1,%,,,,,,,,,33.7,0,45.53,54.47,0,0,0
2005,32.4,0,14.84,17.53,0,0.03,0,67.6,27,10.9,29.8,%,,,,,,,,,32.4,0,45.81,54.09,0.01,0.09,0
2006,36,0,17.49,18.41,0,0.09,0,64,26.9,8.2,28.8,%,,,,,,,,,36,0,48.58,51.15,0,0.26,0
2007,31.6,0,14.37,17.14,0,0.1,0,68.4,28.2,8.6,31.5,%,,,,,,,,,31.6,0,45.46,54.23,0.01,0.31,0
2008,33.9,0,16.18,17.62,0,0.1,0,66.1,25.9,8,32.2,%,,,,,,,,,33.9,0,47.72,51.98,0,0.3,0
2009,32.6,0,15.81,16.67,0,0.1,0.01,67.4,26.6,8.7,32.1,%,,,,,,,,,32.6,0,48.49,51.15,0,0.32,0.03
2010,26.3,0.02,11.52,14.66,0,0.09,0.01,73.7,34.4,10.5,28.8,%,,,,,,,,,26.3,0.07,43.8,55.73,0.01,0.35,0.04
2011,28.7,0.1,14.04,14.39,0,0.13,0.03,71.3,36.6,4.9,29.8,%,,,,,,,,,28.7,0.36,48.92,50.15,0.01,0.44,0.11
2012,28.4,0.2,14.04,14.04,0,0.1,0.03,71.6,38.8,5.8,26.9,%,,,,,,,,,28.4,0.7,49.43,49.42,0,0.36,0.09
2013,26.4,0.2,13.31,12.76,0,0.09,0.04,73.6,42.6,6,25,%,,,,,,,,,26.4,0.76,50.42,48.33,0.01,0.33,0.15
2014,25.6,0.17,11.83,13.34,0.02,0.2,0.04,74.4,42.8,7.4,24.2,%,,,,,,,,,25.6,0.66,46.2,52.12,0.09,0.77,0.17
2015,25.4,0.4,10.51,13.39,0.17,0.91,0.02,74.6,44.5,7.1,22.9,%,,,,,,,,,25.4,1.57,41.37,52.73,0.66,3.57,0.09
2016,24.2,0.78,8.93,12.19,1.21,1.07,0.01,75.8,47.7,6.2,21.9,%,,,,,,,,,24.2,3.22,36.92,50.39,4.99,4.44,0.04
2017,24.6,1.05,10.2,10.9,1.27,1.16,0.01,75.4,49.6,4,21.8,%,,,,,,,,,24.6,4.28,41.47,44.31,5.18,4.72,0.04
2018,23.4,1.09,9.42,10.47,1.25,1.16,0.01,76.6,52.1,3.2,21.4,%,,,,,,,,,23.4,4.65,40.25,44.76,5.36,4.94,0.04
2019,20.8,0.96,7.58,10.09,1.18,0.98,0.01,79.2,54.6,3.5,21.1,%,,,,,,,,,20.8,4.61,36.43,48.53,5.66,4.73,0.05
2020,21.2,1.22,7.06,10.56,1.35,1.01,0.01,78.8,57.2,2.4,19.2,%,,,,,,,,,21.2,5.75,33.3,49.8,6.35,4.75,0.04
2021,22.4,1.09,8.66,10.07,1.38,1.2,0,77.6,58.5,1.5,17.6,%,,,,,,,,,22.4,4.85,38.65,44.95,6.18,5.34,0.02